GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
scaffold,edu.ucsb.cs.scaffold.controller,UserActivityController.UserActivityRequest,0,12,0,0,0,1,0,1,0,1
scaffold,edu.ucsb.cs.scaffold.controller,HealthController,0,7,0,0,0,2,0,2,0,2
scaffold,edu.ucsb.cs.scaffold.controller,UserStateController.UserStateResponse,0,12,0,0,0,1,0,1,0,1
scaffold,edu.ucsb.cs.scaffold.controller,UserActivityController,14,44,4,4,3,9,4,2,0,2
scaffold,edu.ucsb.cs.scaffold.controller,PrairieLearnController,48,0,0,0,10,0,1,0,1,0
scaffold,edu.ucsb.cs.scaffold.controller,ApiController,4,7,0,0,1,2,1,2,1,2
scaffold,edu.ucsb.cs.scaffold.controller,UserStateController.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
scaffold,edu.ucsb.cs.scaffold.controller,UserStateController,32,102,4,4,7,22,4,7,0,7
scaffold,edu.ucsb.cs.scaffold.controller,SystemInfoController,4,3,0,0,1,1,1,1,1,1
scaffold,edu.ucsb.cs.scaffold.controller,UserInfoController,3,3,0,0,1,1,1,1,1,1
scaffold,edu.ucsb.cs.scaffold.controller,AssessmentController,5,4,0,0,1,1,1,1,1,1
scaffold,edu.ucsb.cs.scaffold.controller,QuestionController,5,0,0,0,1,0,1,0,1,0
scaffold,edu.ucsb.cs.scaffold.controller,UserStateController.UserStateRequest,0,15,0,0,0,1,0,1,0,1
scaffold,edu.ucsb.cs.scaffold.services,CurrentUserService,7,3,2,0,1,1,2,1,1,1
scaffold,edu.ucsb.cs.scaffold.services,SystemInfoService,0,3,0,0,0,1,0,1,0,1
scaffold,edu.ucsb.cs.scaffold.services,SystemInfoServiceImpl,23,7,0,0,8,2,1,2,1,2
